height,latitude,longitude
1.000000000000000000e+04,6.555163571924526966e+65,-1.165843203058836811e+65
9.999000000000000000e+03,6.474465345188485553e+65,-1.157793762825532800e+65
9.998000000000000000e+03,6.515558424499662142e+65,-1.161224874397532358e+65
9.997000000000000000e+03,6.079022212715248930e+65,-1.095107491249436752e+65
9.996000000000000000e+03,6.671821970116366720e+65,-1.182580680845345281e+65
9.995000000000000000e+03,6.458212330648130991e+65,-1.148749345826196131e+65
9.994000000000000000e+03,6.294167738891428695e+65,-1.122397306410281100e+65
9.993000000000000000e+03,6.185124156424046388e+65,-1.103262057595571952e+65
9.992000000000000000e+03,6.079829625044313639e+65,-1.090259676118815909e+65
9.991000000000000000e+03,5.863559803314174937e+65,-1.052420368782821206e+65
9.990000000000000000e+03,5.876173411068993759e+65,-1.054892539184726487e+65
9.989000000000000000e+03,5.701097345336469459e+65,-1.024024347544311163e+65
9.988000000000000000e+03,6.445482195114624252e+65,-1.137813963726230556e+65
9.987000000000000000e+03,5.858616279772590265e+65,-1.049586536646094099e+65
9.986000000000000000e+03,5.742260226608566157e+65,-1.033256972807471970e+65
9.985000000000000000e+03,5.915325962322933095e+65,-1.055644569632618977e+65
9.984000000000000000e+03,5.671633603260793605e+65,-1.014962843675054839e+65
9.983000000000000000e+03,5.733077474746808228e+65,-1.028196218452903996e+65
9.982000000000000000e+03,5.184744836712138645e+65,-9.390699621652534654e+64
9.981000000000000000e+03,5.525403633966141128e+65,-9.941736468382776269e+64
9.980000000000000000e+03,5.498069613844305404e+65,-9.815307421196544744e+64
9.979000000000000000e+03,5.660333869779986867e+65,-1.005954381391012931e+65
9.978000000000000000e+03,5.108201369755812166e+65,-9.233714406984042418e+64
9.977000000000000000e+03,5.649301118109105471e+65,-1.003544387755550792e+65
9.976000000000000000e+03,5.541863998954301618e+65,-9.855068699619759533e+64
9.975000000000000000e+03,5.198901285360696392e+65,-9.289201403434674137e+64
9.974000000000000000e+03,5.105569555858971857e+65,-9.164922522820003363e+64
9.973000000000000000e+03,5.057024626461526180e+65,-9.121323239834460806e+64
9.972000000000000000e+03,5.069037013150339881e+65,-9.077015618752741540e+64
9.971000000000000000e+03,5.032508033133120300e+65,-9.033175281249720423e+64
9.970000000000000000e+03,5.012626080906168766e+65,-8.958663208017931321e+64
9.969000000000000000e+03,5.150199933618340834e+65,-9.222010536491055887e+64
9.968000000000000000e+03,4.854931761129404252e+65,-8.723993841641520982e+64
9.967000000000000000e+03,5.031522363192381624e+65,-9.014558633497244672e+64
9.966000000000000000e+03,4.796613640370157426e+65,-8.649275315167669388e+64
9.965000000000000000e+03,4.933730071447816133e+65,-8.828134495898173613e+64
9.964000000000000000e+03,4.846742703776923156e+65,-8.664103505002115816e+64
9.963000000000000000e+03,4.765385396759111734e+65,-8.603197841482474524e+64
9.962000000000000000e+03,4.757313561715041090e+65,-8.552926018814878895e+64
9.961000000000000000e+03,4.744571276126943919e+65,-8.459515406285955213e+64
9.960000000000000000e+03,4.822021877425173006e+65,-8.582451493365898579e+64
9.959000000000000000e+03,4.611198805918503409e+65,-8.294485794907103242e+64
9.958000000000000000e+03,4.801363826871659107e+65,-8.511099413765400693e+64
9.957000000000000000e+03,4.584752986528523581e+65,-8.146309655462450235e+64
9.956000000000000000e+03,4.628814853146760316e+65,-8.262229977820555936e+64
9.955000000000000000e+03,4.371951006138745618e+65,-7.861376673652562527e+64
9.954000000000000000e+03,4.524818171122423255e+65,-8.092910738967673239e+64
9.953000000000000000e+03,4.516014314378822797e+65,-8.054670518608828720e+64
9.952000000000000000e+03,4.279175582978512030e+65,-7.686709478603623784e+64
9.951000000000000000e+03,4.222219826080948672e+65,-7.582054540462645871e+64
9.950000000000000000e+03,4.169881001560770150e+65,-7.532738156894442118e+64
9.949000000000000000e+03,4.241388277032192432e+65,-7.602349955040872569e+64
9.948000000000000000e+03,4.001951393865701054e+65,-7.242813370645460929e+64
9.947000000000000000e+03,4.295651599802454038e+65,-7.656631544239389869e+64
9.946000000000000000e+03,4.162563914310191835e+65,-7.445093961942396251e+64
9.945000000000000000e+03,4.189451889494094123e+65,-7.516138881931475403e+64
9.944000000000000000e+03,4.013314480321018841e+65,-7.232344044654960946e+64
9.943000000000000000e+03,4.014026017251890095e+65,-7.187834102508720919e+64
9.942000000000000000e+03,3.971973666859928655e+65,-7.146000449935775911e+64
9.941000000000000000e+03,3.877052431672744454e+65,-6.970881196778663545e+64
9.940000000000000000e+03,3.863339563754561438e+65,-6.968364519022562364e+64
9.939000000000000000e+03,3.795844275055839908e+65,-6.786405388214618542e+64
9.938000000000000000e+03,4.007384130371737952e+65,-7.172848712759458381e+64
9.937000000000000000e+03,3.845704039539424733e+65,-6.881936714940721586e+64
9.936000000000000000e+03,3.975086396192955324e+65,-7.099943550918193194e+64
9.935000000000000000e+03,4.006322636909465647e+65,-7.146632036163530185e+64
9.934000000000000000e+03,3.689137174592608028e+65,-6.651938232132456258e+64
9.933000000000000000e+03,3.711725803376491862e+65,-6.646361732704977100e+64
9.932000000000000000e+03,3.822008379750538804e+65,-6.827945771566885559e+64
9.931000000000000000e+03,3.744166017915875747e+65,-6.736886325436223457e+64
9.930000000000000000e+03,3.719294191110066800e+65,-6.659913806043924062e+64
9.929000000000000000e+03,3.578737150789732635e+65,-6.454252297343280187e+64
9.928000000000000000e+03,3.473084391081383475e+65,-6.271031820404465446e+64
9.927000000000000000e+03,3.589487623828465851e+65,-6.421743606953952121e+64
9.926000000000000000e+03,3.436785787817072594e+65,-6.194088640496587893e+64
9.925000000000000000e+03,3.608866203089760377e+65,-6.478960854580438084e+64
9.924000000000000000e+03,3.664854781986615217e+65,-6.526041627999262747e+64
9.923000000000000000e+03,3.394117254430272003e+65,-6.138165505091815018e+64
9.922000000000000000e+03,3.513241343666783876e+65,-6.273940294093249054e+64
9.921000000000000000e+03,3.241255200220410678e+65,-5.865567880707696181e+64
9.920000000000000000e+03,3.502208699567083425e+65,-6.253663666904536254e+64
9.919000000000000000e+03,3.392513900717331096e+65,-6.083511580148294682e+64
9.918000000000000000e+03,3.418346980429997630e+65,-6.089814121140718332e+64
9.917000000000000000e+03,3.247892796060581189e+65,-5.841896633441355914e+64
9.916000000000000000e+03,3.287663076310628285e+65,-5.883314574393568537e+64
9.915000000000000000e+03,3.301724901962909443e+65,-5.896011750315279440e+64
9.914000000000000000e+03,3.022954976462011208e+65,-5.468871330205923784e+64
9.913000000000000000e+03,3.238969763697844297e+65,-5.796761522590611596e+64
9.912000000000000000e+03,3.215946761595864048e+65,-5.748734632545892600e+64
9.911000000000000000e+03,3.086617909336018496e+65,-5.575351169368228132e+64
9.910000000000000000e+03,3.302144773682468248e+65,-5.865928723027362708e+64
9.909000000000000000e+03,3.058387441609465969e+65,-5.504180856894009851e+64
9.908000000000000000e+03,2.988613186095535651e+65,-5.415327236991739270e+64
9.907000000000000000e+03,3.032593606336016788e+65,-5.446844810394104144e+64
9.906000000000000000e+03,3.013054182632307268e+65,-5.403697061470656505e+64
9.905000000000000000e+03,3.050183211280197252e+65,-5.448017763742432637e+64
9.904000000000000000e+03,2.955772073523559687e+65,-5.305985016783770936e+64
9.903000000000000000e+03,2.989455902420568918e+65,-5.349634550071952737e+64
9.902000000000000000e+03,2.929232950359163855e+65,-5.282796582307795682e+64
9.901000000000000000e+03,2.934337355882032774e+65,-5.278415956565737798e+64
9.900000000000000000e+03,2.755578073567991026e+65,-4.970130369772378760e+64
9.899000000000000000e+03,2.850127360058141132e+65,-5.109975014465492382e+64
9.898000000000000000e+03,2.831794178691481566e+65,-5.049095436078782168e+64
9.897000000000000000e+03,2.826497779197750804e+65,-5.051959430196302039e+64
9.896000000000000000e+03,2.865019043790802004e+65,-5.111245852258243702e+64
9.895000000000000000e+03,2.856525991822813966e+65,-5.118066441621534699e+64
9.894000000000000000e+03,2.727342502157293204e+65,-4.907495767976408970e+64
9.893000000000000000e+03,2.764417957052871369e+65,-4.952810377414628679e+64
9.892000000000000000e+03,2.769228069111375494e+65,-4.955832355872602497e+64
9.891000000000000000e+03,2.816157357549754184e+65,-5.024959912879885155e+64
9.890000000000000000e+03,2.718053740109787771e+65,-4.856523456588103950e+64
9.889000000000000000e+03,2.591912647701947617e+65,-4.681201990712669717e+64
9.888000000000000000e+03,2.680864696380236065e+65,-4.765860073684326019e+64
9.887000000000000000e+03,2.555800174786027125e+65,-4.605536304118234295e+64
9.886000000000000000e+03,2.657599468316834051e+65,-4.730838503657511593e+64
9.885000000000000000e+03,2.492742985720826862e+65,-4.503857096020523206e+64
9.884000000000000000e+03,2.545467692858567304e+65,-4.564274811715744302e+64
9.883000000000000000e+03,2.391144071266471742e+65,-4.298624600300721791e+64
9.882000000000000000e+03,2.487305286302719958e+65,-4.462711964174424284e+64
9.881000000000000000e+03,2.602127226280827933e+65,-4.635940663151807101e+64
